"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,021591062503010704;0,0015448506904824433;0;0;0,00013575211768727667;0;0;0;0,021591062503010704
2, Jan;0,022817825522658;0,0015524673889570706;0;0,005078788830025848;0;0;0;0;0,022817825522658
3, Jan;0,020249956926422803;0,001367671072750348;0;0,013889972404514193;0,006068893077662173;0;0;0;0,020249956926422803
4, Jan;0,02471934519541103;0,0019163943726920227;0;0,00016146572515568925;0;0;0;0;0,02471934519541103
5, Jan;0,02381303812890844;0,00204259143816516;0;0;0;0;0;0;0,02381303812890844
6, Jan;0,010212676942081195;0,0007891451163142252;0;0,003113870930778606;0;0;0;0;0,010212676942081195
7, Jan;0,01582213260667741;0,001708816252481777;0;0;0;0;0;0;0,01582213260667741
8, Jan;0,012227578013467147;0,001332027762460067;0;0,011898000144103183;0;0;0;0;0,012227578013467147
9, Jan;0,021131979510388567;0,002571099007610783;0;0,014255570723871479;0,0017600035453591112;0,0000265948;0;0;0,021131979510388567
10, Jan;0,02010191502592489;0,002848299896770529;0;0;0;0;0;0;0,02010191502592489
11, Jan;0,009003399733470694;0,0010436491982284684;0;0;0;0;0;0;0,009003399733470694
12, Jan;0,01322877139788572;0,0014838862312214257;0;0;0;0;0;0;0,01322877139788572
13, Jan;0,004727845234721231;0,0002833675309147001;0;0;0;0;0;0;0,004727845234721231
14, Jan;0,0026377297837638;0,00015140461814777733;0;0,0003412363908750594;0;0;0;0;0,0026377297837638
15, Jan;0,00887712127959247;0,0005105568822723868;0;0;0;0,000189806;0;0;0,00887712127959247
16, Jan;0,002585846479698147;0,00013878835457055557;0;0,0006601537824211634;0,0004999440814882116;0,00171896;0;0;0,002585846479698147
17, Jan;0,0032468047911810767;0,00017354973161701665;0;0;0;0,00011;0;0;0,0032468047911810767
18, Jan;0,008860932871899797;0,000561770703225927;0;0;0;0;0;0;0,008860932871899797
19, Jan;0,002746988305061922;0,00014025296999200043;0;0;0;0;0;0;0,002746988305061922
20, Jan;0,00002717369365518403;0,0000013586846566571115;0;0;0;0;0;0;0,00002717369365518403
21, Jan;0,0116227015251536;0,0007001521742397359;0;0;0,00006642267776177068;0,0000954923;0,00000186642;0;0,0116227015251536
22, Jan;0,01309644267163469;0,0012241132858088197;0;0;0;0,003599943;0,008230795;0;0,01309644267163469
23, Jan;0,00892949211223243;0,000617316017770981;0;0;0;0,006109905;0,004198592;0;0,00892949211223243
24, Jan;0,0034195716605592737;0,00019482553272503908;0;0;0,00021382498099664936;0;0,000223786;0;0,0034195716605592737
25, Jan;0,014609901359797593;0,0012259099782849642;0;0;0,0009544235173896823;0;0,000198881;0;0,014609901359797593
26, Jan;0,03076421626480171;0,0017626097116769696;0;0;0,002074680788100033;0;0,000670995;0;0,03076421626480171
27, Jan;0,013230749309864814;0,0007640565724650841;0;0;0;0;0;0;0,013230749309864814
28, Jan;0,012116582938908462;0,0006427428112970874;0;0;0;0;0,001027886;0;0,012116582938908462
29, Jan;0,013414166967965028;0,0008002631199199523;0;0;0,0004888984788159083;0,00509502;0,00046757;0;0,013414166967965028
30, Jan;0,005717664556118405;0,00029001675646401305;0;0;0;0,000338736;0;0;0,005717664556118405
31, Jan;0,026541919451657965;0,001490810526860669;0;0;0,00048768971399341466;0,020940853;0;0;0,026541919451657965
32, Feb;0,09433407633828475;0,006779890423932952;0;0;0,030363005907546245;0,010506518;0;0;0,09433407633828475
33, Feb;0,14585414595668092;0,01150322815762507;0;0;0;0;0;0;0,14585414595668092
34, Feb;0,014754612884179358;0,0007441077264435088;0;0;0;0;0,000695704;0;0,014754612884179358
35, Feb;0,029828922630960097;0,0015493016606489105;0;0;0;0,010962667;0;0;0,029828922630960097
36, Feb;0,1742093552388418;0,013547100828367499;0;0,0015340404660177873;0;0,15128624;0;0;0,1742093552388418
37, Feb;0,1914443285475932;0,014239421339847581;0;0,0013923853502145263;0;0,107533817;0;0;0,1914443285475932
38, Feb;0,11044098550428724;0,006252555034620345;0;0;0;0,010497326;0;0;0,11044098550428724
39, Feb;0,16929349343338354;0,012355131953286483;0;0;0;0;0;0;0,16929349343338354
40, Feb;0,06692311582009354;0,003944516983802009;0;0;0;0;0,003867001;0;0,06692311582009354
41, Feb;0,22669028380526554;0,02095665097771204;0;0;0;0,002671721;0;0;0,22669028380526554
42, Feb;0,08185621868869114;0,004676394933007757;0;0;0;0;0;0;0,08185621868869114
43, Feb;0,17017119882352683;0,01196092340443701;0;0;0;0;0;0;0,17017119882352683
