"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3041973114013672;0,030602169036865235;0;0;0,22092914581298828;0;0;0;0,3041973114013672
2, Jan;0,49312591552734375;0,0367916202545166;0;0,09442791938781739;0;0;0;0;0,49312591552734375
3, Jan;0,3031597900390625;0,02727468490600586;0;0,015176513195037843;0;0;0,003310618;0;0,3031597900390625
4, Jan;0,4095572280883789;0,05532210350036621;0;0,12276365280151368;0;0;0;0;0,4095572280883789
5, Jan;0,16229736328125;0,010206139087677002;0;0;0;0;0;0;0,16229736328125
6, Jan;0,06313699722290039;0,00321580171585083;0;0,012450190782546998;0;0;0;0;0,06313699722290039
7, Jan;0,29566062927246095;0,0302188777923584;0;0;0;0;0;0;0,29566062927246095
8, Jan;0,07077258586883545;0,0036895495653152467;0;0,15387679100036622;0;0;0;0;0,07077258586883545
9, Jan;0,3994369888305664;0,040015888214111325;0;0,5408514404296875;0,04282628059387207;0;0;0;0,3994369888305664
10, Jan;0,3344755172729492;0,03923044919967651;0;0,011911959648132324;0;0;0;0;0,3344755172729492
11, Jan;0,30655853271484373;0,03457283020019531;0;0;0;0;0;0;0,30655853271484373
12, Jan;0,25344894409179686;0,023172407150268554;0;0;0;0,096993848;0,023910051;0;0,25344894409179686
13, Jan;0,4210630798339844;0,03737279653549194;0;0;0;0;0;0;0,4210630798339844
14, Jan;0,12279206275939941;0,008410606384277344;0;0;0;0;0;0;0,12279206275939941
15, Jan;0,17808822631835938;0,015918041467666625;0;0;0,002359512746334076;0;0,031060237;0;0,17808822631835938
16, Jan;0,14647096633911133;0,009146331548690797;0;0;0,04981393814086914;0,122316395;0;0;0,14647096633911133
17, Jan;0,2021399688720703;0,01780222773551941;0;0;0;0,130463068;0;0;0,2021399688720703
18, Jan;0,32392295837402346;0,042650427818298337;0;0,0018977078795433045;0;0,132272488;0;0;0,32392295837402346
19, Jan;0,08490107536315918;0,004747050106525421;0;0;0;0;0;0;0,08490107536315918
20, Jan;0,32786380767822265;0,02628101348876953;0;0;0;0;0;0;0,32786380767822265
21, Jan;0,25865373611450193;0,018943973779678346;0;0;0;0,021949226;0,245546777;0;0,25865373611450193
22, Jan;0,3333491516113281;0,036268765926361086;0;0;0,1001884651184082;0;0,306797975;0;0,3333491516113281
23, Jan;0,1813193130493164;0,014130611419677735;0;0;0;0,038789937;0,164876731;0;0,1813193130493164
24, Jan;0,17580629348754884;0,013593631982803344;0;0;0;0;0;0;0,17580629348754884
25, Jan;0,4333955383300781;0,037113940715789794;0;0,02271571397781372;0;0;0;0;0,4333955383300781
26, Jan;0,15867687225341798;0,012873895168304443;0;0;0,08567136764526367;0;0;0;0,15867687225341798
27, Jan;0,37339344024658205;0,020809166431427002;0;0;0;0;0;0;0,37339344024658205
28, Jan;0,0022467400133609774;0,00011233700439333916;0;0;0;0;0;0;0,0022467400133609774
29, Jan;0,2318994140625;0,01367120623588562;0;0;0;0,20553594;0;0;0,2318994140625
30, Jan;0,1461239242553711;0,007743077874183654;0;0;0;0;0;0;0,1461239242553711
31, Jan;0,3085433769226074;0,027872951030731202;0;0,011247875690460206;0,2740321731567383;0,110546029;0;0;0,3085433769226074
32, Feb;0,20557571411132813;0,016616811752319337;0;0;0,004263818264007568;0;0;0;0,20557571411132813
33, Feb;0,0760116958618164;0,0043329763412475585;0;0;0;0;0;0;0,0760116958618164
34, Feb;0,12872753143310547;0,008244479894638062;0;0;0;0,002975567;0;0;0,12872753143310547
35, Feb;0,1570314025878906;0,009984990358352661;0;0;0;0,025189998;0,031560179;0;0,1570314025878906
36, Feb;0,18385467529296876;0,015510509014129639;0;0;0;0,128128102;0,019056952;0;0,18385467529296876
37, Feb;0,34316898345947267;0,03316194534301758;0;0;0;0,236037402;0;0;0,34316898345947267
38, Feb;0,2811509895324707;0,015383551120758057;0;0,0029447004199028015;0;0;0;0;0,2811509895324707
39, Feb;0,10491249084472656;0,006623673439025879;0;0;0;0;0;0;0,10491249084472656
40, Feb;0,3294300842285156;0,03699091196060181;0;0;0;0,021642063;0;0;0,3294300842285156
41, Feb;0,1293150520324707;0,009388887882232666;0;0;0,04010043144226074;0;0;0;0,1293150520324707
42, Feb;0,3016623306274414;0,03456294536590576;0;0;0;0;0;0;0,3016623306274414
43, Feb;0,20814605712890624;0,02134298324584961;0;0,013177449703216553;0;0;0;0;0,20814605712890624
44, Feb;0,20138778686523437;0,014016249179840089;0;0,22150491714477538;0;0;0;0;0,20138778686523437
45, Feb;0,1607521629333496;0,013395799398422241;0;0,03947293519973755;0;0;0;0;0,1607521629333496
46, Feb;0,012133617401123047;0,0006398063898086548;0;0;0;0;0;0;0,012133617401123047
47, Feb;0,12600099563598632;0,007804878354072571;0;0;0;0,078896249;0;0;0,12600099563598632
48, Feb;0,18967884063720702;0,011183253526687621;0;0;0,1826948928833008;0,009615066;0,027107194;0;0,18967884063720702
49, Feb;0,13596517562866212;0,006798258423805237;0;0;0,13596517562866212;0;0;0;0,13596517562866212
