"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3741049957275391;0,037898266315460206;0;0;0,1527264881134033;0;0;0;0,3741049957275391
2, Jan;0,44658355712890624;0,0384849739074707;0;0,1577311134338379;0,024715797901153566;0;0,012203189;0;0,44658355712890624
3, Jan;0,5270429229736329;0,043536381721496584;0;0,018462570905685424;0;0;0;0;0,5270429229736329
4, Jan;0,38790431976318357;0,048773512840271;0;0,238463134765625;0;0;0;0;0,38790431976318357
5, Jan;0,16747360229492186;0,009549492597579956;0;0,009683412313461304;0;0;0;0;0,16747360229492186
6, Jan;0,14437538146972656;0,011701580286026001;0;0,012628198862075805;0;0,003684586;0;0;0,14437538146972656
7, Jan;0,3550403594970703;0,03811460494995117;0;0,017744472026824953;0;0;0;0;0,3550403594970703
8, Jan;0,1413993453979492;0,010631918907165527;0;0,20121532440185547;0;0;0;0;0,1413993453979492
9, Jan;0,3281822967529297;0,028716883659362792;0;0,4707463073730469;0,0001818527840077877;0;0;0;0,3281822967529297
10, Jan;0,48242195129394533;0,06612947463989258;0;0,034135932922363284;0;0;0;0;0,48242195129394533
11, Jan;0,3635062026977539;0,052329330444335936;0;0;0;0;0;0;0,3635062026977539
12, Jan;0,2611541748046875;0,02509438991546631;0;0;0;0,011643947;0;0;0,2611541748046875
13, Jan;0,4564905548095703;0,033889636993408204;0;0;0;0;0;0;0,4564905548095703
14, Jan;0,12694594383239746;0,00845755696296692;0;0;0;0;0,01142402;0;0,12694594383239746
15, Jan;0,22594371795654297;0,017703365087509155;0;0;0,009349431991577149;0,090068103;0,029502816;0;0,22594371795654297
16, Jan;0,10163257598876953;0,00601027250289917;0;0,003588455319404602;0,012702412605285644;0,07846678;0;0;0,10163257598876953
17, Jan;0,3240015411376953;0,03067357063293457;0;0;0;0,253608324;0;0;0,3240015411376953
18, Jan;0,5849553680419922;0,07567739963531495;0;0,03637777328491211;0;0,360267064;0;0;0,5849553680419922
19, Jan;0,06548260688781739;0,0032741305232048034;0;0;0;0;0;0;0,06548260688781739
20, Jan;0,33751720428466797;0,024823460578918457;0;0;0;0;0;0;0,33751720428466797
21, Jan;0,23080001831054686;0,018481931686401366;0;0;0;0,044919274;0,132152002;0;0,23080001831054686
22, Jan;0,3679619598388672;0,03790012359619141;0;0;0,08655108451843262;0;0,345120444;0;0,3679619598388672
23, Jan;0,4595648956298828;0,03775331497192383;0;0;0;0,023964585;0,449357103;0;0,4595648956298828
24, Jan;0,16982194900512695;0,010411922931671142;0;0;0,025779051780700682;0;0;0;0,16982194900512695
25, Jan;0,5392099761962891;0,042533955574035644;0;0,001292901039123535;0,0028097572922706603;0;0;0;0,5392099761962891
26, Jan;0,31158931732177736;0,021515378952026366;0;0;0,027529654502868654;0;0;0;0,31158931732177736
27, Jan;0,4903464508056641;0,03364640712738037;0;0;0,13551647186279298;0;0;0;0,4903464508056641
28, Jan;0,016005609035491943;0,0008002804964780808;0;0;0;0;0;0;0,016005609035491943
29, Jan;0,21093515396118165;0,011638476848602294;0;0;0;0,082650734;0;0;0,21093515396118165
30, Jan;0,07600280284881591;0,0041916540265083315;0;0;0;0,001864035;0;0;0,07600280284881591
31, Jan;0,4262541198730469;0,03156599760055542;0;0;0,41116077423095704;0,072501294;0;0;0,4262541198730469
32, Feb;0,2921638488769531;0,03219753742218018;0;0;0,1904786491394043;0;0;0;0,2921638488769531
33, Feb;0,06176958084106445;0,003531288504600525;0;0;0;0;0;0;0,06176958084106445
34, Feb;0,20359371185302735;0,014298301935195924;0;0;0;0,000341195;0;0;0,20359371185302735
35, Feb;0,08025890350341797;0,004277915358543396;0;0;0;0,033180021;0,038674598;0;0,08025890350341797
36, Feb;0,2761578369140625;0,02430631160736084;0;0;0;0,222529477;0,016085939;0;0,2761578369140625
37, Feb;0,32205249786376955;0,030851237773895264;0;0,0207831072807312;0;0,228228899;0;0;0,32205249786376955
38, Feb;0,26919519424438476;0,017092282772064208;0;0;0;0;0;0;0,26919519424438476
39, Feb;0,11109291076660156;0,008585517406463622;0;0;0;0;0;0;0,11109291076660156
40, Feb;0,39966522216796874;0,04735035896301269;0;0;0;0;0,024242949;0;0,39966522216796874
41, Feb;0,09661552429199219;0,005752533674240112;0;0;0;0;0;0;0,09661552429199219
42, Feb;0,32304656982421875;0,03522460460662842;0;0;0;0;0;0;0,32304656982421875
43, Feb;0,18893747329711913;0,018145066499710084;0;0,006174652576446533;0;0;0;0;0,18893747329711913
44, Feb;0,3646318817138672;0,022392148971557616;0;0,25010765075683594;0;0;0;0;0,3646318817138672
45, Feb;0,17233100891113282;0,01314172387123108;0;0,009708722233772277;0;0;0;0;0,17233100891113282
46, Feb;0,04846780776977539;0,0025844544172286986;0;0,0024060286581516267;0;0;0;0;0,04846780776977539
47, Feb;0,1694021224975586;0,012230231761932372;0;0;0,0009871665388345718;0,004638804;0,009410495;0;0,1694021224975586
48, Feb;0,10809761047363281;0,006275545954704285;0;0;0,09984088897705078;0;0,016397623;0;0,10809761047363281
49, Feb;0,13939737319946288;0,0071266603469848635;0;0;0,13606569290161133;0;0;0;0,13939737319946288
50, Feb;0,2666978073120117;0,01976407527923584;0;0;0;0;0;0;0,2666978073120117
51, Feb;0,2287323570251465;0,016550915241241457;0;0;0;0;0,187318283;0;0,2287323570251465
52, Feb;0;0;0;0;0;0;0;0;0
53, Feb;0,044577140808105466;0,0022288572788238523;0;0;0;0;0;0;0,044577140808105466
54, Feb;0;0;0;0,006991395950317383;0;0;0;0;0
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0,0621251916885376;0,0031062597036361694;0;0;0;0;0;0;0,0621251916885376
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0;0;0;0;0;0;0;0;0
60, Mar;0,025132598876953124;0,0012566301226615906;0;0;0;0;0;0;0,025132598876953124
61, Mar;0,007955267429351806;0,0003977633640170097;0;0;0;0;0;0;0,007955267429351806
62, Mar;0,004722368717193603;0,00023611845448613168;0;0;0;0;0;0;0,004722368717193603
63, Mar;0,0005910031870007515;0,000029550159815698862;0;0;0;0;0;0;0,0005910031870007515
64, Mar;0,025968470573425294;0,0014434219896793366;0;0;0;0,001163841;0;0;0,025968470573425294
65, Mar;0,01643679857254028;0,0008739607781171799;0;0,0019917306303977966;0;0;0;0;0,01643679857254028
66, Mar;0,00617445707321167;0,0003087228909134865;0;0,008777976632118226;0;0;0;0;0,00617445707321167
67, Mar;0,0005366029217839241;0,000026830146089196206;0;0;0;0;0;0;0,0005366029217839241
68, Mar;0,007926247119903564;0,0004223700985312462;0;0;0;0;0;0;0,007926247119903564
69, Mar;0,0024819663166999817;0,00012409831397235392;0;0;0;0;0;0;0,0024819663166999817
70, Mar;0,0013447161018848418;0,00006723580881953239;0;0;0;0,001415491;0;0;0,0013447161018848418
71, Mar;0,00005989294499158859;0,0000029946473659947515;0;0;0;0,0000630452;0;0;0,00005989294499158859
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0,0007748231291770935;0,000038741151802241805;0;0;0;0;0;0;0,0007748231291770935
74, Mar;0;0;0;0;0;0;0;0;0
75, Mar;0,000545906238257885;0,000027295313775539397;0;0;0;0;0;0;0,000545906238257885
76, Mar;0;0;0;0;0;0;0;0;0
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0,0004951251298189164;0,000024756256025284528;0;0;0;0;0;0;0,0004951251298189164
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0,0012898555397987367;0,00006449277978390455;0;0;0;0;0;0;0,0012898555397987367
81, Mar;0,00047058407217264174;0,000026536453515291213;0;0;0;0;0;0;0,00047058407217264174
82, Mar;0,002817011773586273;0,00016224808990955353;0;0;0;0;0;0;0,002817011773586273
83, Mar;0,00232410728931427;0,00017818335443735124;0;0;0;0;0;0;0,00232410728931427
84, Mar;0,0015663188695907593;0,00008179474622011185;0;0;0;0;0;0;0,0015663188695907593
85, Mar;0;0;0;0;0;0;0;0;0
86, Mar;0,00019262116402387618;0,00000963105820119381;0;0;0;0;0;0;0,00019262116402387618
87, Mar;0,00626156210899353;0,0003130781278014183;0;0;0;0;0;0;0,00626156210899353
88, Mar;0;0;0;0;0;0;0;0;0
89, Mar;0,00029509790241718294;0,000014754894655197859;0;0;0;0;0;0;0,00029509790241718294
90, Mar;0;0;0;0;0;0;0;0;0
91, Apr;0;0;0;0;0;0;0;0;0
92, Apr;0;0;0;0;0;0;0;0;0
93, Apr;0,0029511117935180665;0,00014755559153854846;0;0;0;0;0;0;0,0029511117935180665
94, Apr;0,031047842502593993;0,0025362324714660643;0;0;0;0;0;0;0,031047842502593993
95, Apr;0;0;0;0;0;0;0;0;0
96, Apr;0,0019194203615188598;0,0000959710218012333;0;0;0;0;0;0;0,0019194203615188598
97, Apr;0;0;0;0;0;0;0;0;0
98, Apr;0,002682116627693176;0,00013410583138465882;0;0,0217287015914917;0;0;0;0;0,002682116627693176
99, Apr;0,014672685861587525;0,0007336343079805374;0;0,0062720167636871335;0;0;0;0;0,014672685861587525
100, Apr;0,0037693050503730774;0,00018846526741981507;0;0;0;0;0;0;0,0037693050503730774
101, Apr;0,04576436996459961;0,003327922224998474;0;0,00013920096680521964;0;0;0;0;0,04576436996459961
102, Apr;0,034165682792663576;0,002496803849935532;0;0;0;0;0;0;0,034165682792663576
103, Apr;0,030467734336853028;0,0015252137184143066;0;0,00392360508441925;0;0;0;0;0,030467734336853028
104, Apr;0,022171034812927246;0,0011085517704486846;0;0;0;0;0;0;0,022171034812927246
105, Apr;0,0090884268283844;0,0006094417348504066;0;0;0;0;0;0;0,0090884268283844
106, Apr;0,0027861839532852175;0,0001393091958016157;0;0;0;0;0;0;0,0027861839532852175
107, Apr;0;0;0;0;0;0;0;0;0
108, Apr;0,000051347077824175355;0,000002567353949416429;0;0;0;0;0;0;0,000051347077824175355
109, Apr;0,02711747169494629;0,001504274606704712;0;0,02796530246734619;0;0;0;0;0,02711747169494629
110, Apr;0,0059957242012023924;0,0002997862547636032;0;0;0;0;0;0;0,0059957242012023924
111, Apr;0,028949530124664308;0,0014474764466285706;0;0,0005147054791450501;0;0;0;0;0,028949530124664308
112, Apr;0,0007193340361118317;0,00003597799921408295;0;0;0;0;0;0;0,0007193340361118317
113, Apr;0,10508589744567871;0,005902523994445801;0;0;0;0;0;0;0,10508589744567871
114, Apr;0;0;0;0;0;0;0;0;0
115, Apr;0,02041529893875122;0,0010207810997962953;0;0;0;0;0;0;0,02041529893875122
116, Apr;0,000052580703049898146;0,0000026290351524949076;0;0;0;0;0;0;0,000052580703049898146
117, Apr;0,07611576080322266;0,0038057881593704223;0;0;0;0;0;0;0,07611576080322266
118, Apr;0,023073062896728516;0,0011536531895399093;0;0;0;0;0;0;0,023073062896728516
119, Apr;0;0;0;0;0;0;0;0;0
120, Apr;0,016849825382232664;0,0008424913138151169;0;0;0;0;0;0;0,016849825382232664
121, May;0,006055887341499328;0,0003027943708002567;0;0;0;0;0;0;0,006055887341499328
122, May;0;0;0;0;0;0;0;0;0
123, May;0,0018155330419540405;0,00009077665396034718;0;0;0;0;0;0;0,0018155330419540405
124, May;0,059017176628112795;0,002950858771800995;0;0;0;0;0;0;0,059017176628112795
125, May;0,01587651491165161;0,0010306477546691895;0;0;0;0;0;0;0,01587651491165161
126, May;0;0;0;0;0;0;0;0;0
127, May;0,03678176879882813;0,001839088499546051;0;0,17898199081420899;0;0;0;0;0,03678176879882813
128, May;0;0;0;0;0;0;0;0;0
129, May;0,08457667350769044;0,004228833615779876;0;0;0;0;0,085374607;0;0,08457667350769044
130, May;0;0;0;0;0;0;0;0;0
131, May;0;0;0;0;0;0;0;0;0
132, May;0;0;0;0;0;0;0;0;0
133, May;0;0;0;0;0;0;0;0;0
134, May;0;0;0;0;0;0;0;0;0
135, May;0;0;0;0;0;0;0;0;0
136, May;0,0679385757446289;0,003396928906440735;0;0,02893810033798218;0;0;0;0;0,0679385757446289
137, May;0;0;0;0;0;0;0;0;0
138, May;0,01718952298164368;0,0008594761788845062;0;0;0;0;0;0;0,01718952298164368
139, May;0;0;0;0;0;0;0;0;0
140, May;0;0;0;0;0;0;0;0;0
141, May;0,5116717147827149;0,02688281297683716;0;0;0;0;0,025408836;0;0,5116717147827149
142, May;0,6886460876464844;0,06019263744354248;0;0;0;0;0;0;0,6886460876464844
143, May;0,4325279235839844;0,030818064212799073;0;0,5777923202514649;0;0;0,022220756;0;0,4325279235839844
144, May;0,5404027557373047;0,040676393508911134;0;0;0;0;0,363539545;0;0,5404027557373047
145, May;0,6865979766845703;0,04913305282592773;0;0,019236115217208864;0;0;0,291958236;0;0,6865979766845703
146, May;0,08345692634582519;0,004172846078872681;0;0;0;0;0;0;0,08345692634582519
147, May;0,23771049499511718;0,011885523796081543;0;0;0,23771049499511718;0;0;0;0,23771049499511718
148, May;1,1979632568359375;0,08376835823059083;0;0;1,1627874755859375;0;0;0;1,1979632568359375
149, May;0;0;0;0;0;0;0;0;0
150, May;0,05653573513031006;0,0028267866373062134;0;0;0;0;0,003962408;0;0,05653573513031006
151, May;0,04093841075897217;0,002046920657157898;0;0,06354394435882568;0;0;0;0;0,04093841075897217
152, Jun;1,2449107360839844;0,0696639633178711;0;3,2580889892578124;0;0;0;0;1,2449107360839844
153, Jun;2,211260223388672;0,11327350616455079;0;0;0;0;0,027452999;0;2,211260223388672
154, Jun;1,298281707763672;0,06787269592285156;0;0;0;0;0,008278387;0;1,298281707763672
155, Jun;3,339225158691406;0,19464408874511718;0;0;0;0;1,071183697;0;3,339225158691406
156, Jun;0,6364940643310547;0,03682941198348999;0;0,039190104007720945;0;0;0;0;0,6364940643310547
157, Jun;0,6041703414916992;0,032155017852783206;0;0;0;0;0;0;0,6041703414916992
158, Jun;0;0;0;0;0;0;0;0;0
159, Jun;0;0;0;0;0;0;0;0;0
160, Jun;4,694336853027344;0,2612863922119141;0;0;4,694336853027344;0;0;0;4,694336853027344
161, Jun;1,256004638671875;0,06414567947387695;0;0;0;0;0;0;1,256004638671875
162, Jun;0,8376905059814453;0,04935683250427246;0;0;0;0,529591675;0,132064002;0;0,8376905059814453
163, Jun;2,0347164916992186;0,12947349548339843;0;0,42832923889160157;0;0;1,445896894;0;2,0347164916992186
164, Jun;3,08244873046875;0,2565743446350098;0;0;0,4026166534423828;0,005052175;2,941727498;0;3,08244873046875
165, Jun;8,967001953125;0,9071290588378906;0;0;0;0;0;0;8,967001953125
166, Jun;0,12452785491943359;0,006226840019226074;0;1,7359291076660157;0;0;0,000464964;0;0,12452785491943359
167, Jun;4,594296875;0,25319805145263674;0;0;0,002867359220981598;0;0;0;4,594296875
168, Jun;2,8163299560546875;0,14081649780273436;0;0;1,279634398088092e-7;0;0;0;2,8163299560546875
169, Jun;2,857689208984375;0,14579447746276855;0;0;2,857689208984375;0;0;0;2,857689208984375
170, Jun;1,2855323791503905;0,07655929565429688;0;0;0,3148363494873047;0;0;0;1,2855323791503905
171, Jun;3,6151385498046875;0,25932090759277343;0;0;2,2247019958496095;0;0,006929884;0;3,6151385498046875
172, Jun;3,841759033203125;0,3072208023071289;0;0;2,818631286621094;1,168985865;0;0;3,841759033203125
173, Jun;2,8169656372070313;0,15843103408813478;0;0;2,7933718872070314;0;0;0;2,8169656372070313
174, Jun;5,393221435546875;0,4497944641113281;0;0;4,20464599609375;0;0;0;5,393221435546875
175, Jun;5,0829840087890625;0,37065998077392576;0;0;0,22039342880249024;0;0;0;5,0829840087890625
176, Jun;1,7412960815429688;0,14191883087158202;0;0;0;0;0;0;1,7412960815429688
177, Jun;18,37017822265625;1,4391635131835938;0;0;0;18,37979009;0,025074816;0;18,37017822265625
