"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,04925284487135867;0,00417637825012207;0;0;0;0;0;0;0,04925284487135867
2, Jan;0,03437655022803773;0,0021684456695901587;0;0;0;0;0;0;0,03437655022803773
3, Jan;0,03566950940071268;0,0020910663173553793;0;0,03679143367929662;0;0;0;0;0,03566950940071268
4, Jan;0,04030901320437168;0,003475937120457913;0;0;0;0;0;0;0,04030901320437168
5, Jan;0,0431998334032424;0,003748860130918787;0;0;0;0;0;0;0,0431998334032424
6, Jan;0,011481594532094103;0,0006748093093963379;0;0,000011239320961164032;0;0;0;0;0,011481594532094103
7, Jan;0,009514864454878138;0,000694965587017384;0;0;0;0;0;0;0,009514864454878138
8, Jan;0,018729339254663347;0,0018207643260347082;0;0,007660229789449814;0;0;0;0;0,018729339254663347
9, Jan;0,024551414428873264;0,0025138520496956846;0;0,017975362057381487;0;0;0;0;0,024551414428873264
10, Jan;0,02148668816749086;0,0030975037432731467;0;0;0;0;0;0;0,02148668816749086
11, Jan;0,0026309876999956495;0,0002422485738358599;0;0;0;0;0;0;0,0026309876999956495
12, Jan;0,005723367346094009;0,0007371445126990054;0;0;0;0;0;0;0,005723367346094009
13, Jan;0,0035083706074572622;0,00021060948517728358;0;0,00006197370152841224;0;0;0;0;0,0035083706074572622
14, Jan;0,00019293399329515213;0,000009646699293219346;0;0;0;0;0;0;0,00019293399329515213
15, Jan;0,005332937265964265;0,0002694898185894844;0;0;0;0;0;0;0,005332937265964265
16, Jan;0,0002888112150608225;0,000019072748205446184;0;0;0;0,000278444;0;0;0,0002888112150608225
17, Jan;0,00182721383394079;0,00011403954766215161;0;0;0;0;0;0;0,00182721383394079
18, Jan;0,004007677765602761;0,0003521411105039272;0;0;0;0;0;0;0,004007677765602761
19, Jan;0,0018893833807174195;0,00010496093594330422;0;0;0;0;0;0;0,0018893833807174195
20, Jan;0,000031709633866681695;0,0000015854816314110414;0;0;0;0;0;0;0,000031709633866681695
21, Jan;0,006579373745208091;0,000454012542328936;0;0;0,004296644888025649;0;0;0;0,006579373745208091
22, Jan;0,00545273816331904;0,0006607986511068142;0;0;0;0,003394022;0,00174512;0;0,00545273816331904
23, Jan;0,002503074230031764;0,00013719941984782828;0;0;0;0,001538384;0,000322521;0;0,002503074230031764
24, Jan;0,0016138482284038624;0,0000842791645133749;0;0;0;0;0;0;0,0016138482284038624
25, Jan;0,007282957117608253;0,0003697127103805542;0;0;0,000004833999171635096;0;0;0;0,007282957117608253
26, Jan;0,03345046144850711;0,0019162982068163283;0;0;0;0;0;0;0,03345046144850711
27, Jan;0,0038787424564361572;0,00019393712678488265;0;0;0;0;0;0;0,0038787424564361572
28, Jan;0,007189354998000125;0,0003731739806367996;0;0;0;0,000173724;0,001404703;0;0,007189354998000125
29, Jan;0,009143007562515583;0,0005092603808387797;0;0;0;0,001319714;0;0;0,009143007562515583
30, Jan;0,002912943984599824;0,0001507687600369149;0;0;0;0;0;0;0,002912943984599824
31, Jan;0,01759435902250574;0,0009971976755781377;0;0;0,0005569656557859259;0,012623325;0;0;0,01759435902250574
32, Feb;0,10155025441595848;0,006796674525484126;0;0;0,05140377612824135;0,011133697;0;0;0,10155025441595848
33, Feb;0,20474543470017453;0,01796910103331221;0;0;0;0;0;0;0,20474543470017453
34, Feb;0,01355765220966745;0,000677882673892569;0;0;0;0;0,003283874;0;0,01355765220966745
35, Feb;0,008000059964809013;0,0004000029665358523;0;0;0;0,000993215;0;0;0,008000059964809013
36, Feb;0,1967421592550075;0,013726044208445448;0;0,022927821950709568;0;0,152926135;0;0;0,1967421592550075
37, Feb;0,274041622243029;0,020419417543614163;0;0;0;0,057947585;0;0;0,274041622243029
38, Feb;0,2563043147959608;0,012927846705659907;0;0;0;0;0;0;0,2563043147959608
39, Feb;0,1594423436103983;0,010463771033794322;0;0;0;0;0;0;0,1594423436103983
40, Feb;0,052859676645157186;0,003073592135246764;0;0;0;0;0;0;0,052859676645157186
41, Feb;0,20089052078571726;0,014517891914286513;0;0;0;0,014066892;0;0;0,20089052078571726
42, Feb;0,09222720531707114;0,005424338452359463;0;0;0;0;0;0;0,09222720531707114
43, Feb;0,21076839528185257;0,012582146106882299;0;0;0;0;0;0;0,21076839528185257
44, Feb;0,09353477396863571;0,004798457343527612;0;0,2147026873649435;0;0;0;0;0,09353477396863571
45, Feb;0,13292886855754446;0,00677271472646835;0;0;0;0;0;0;0,13292886855754446
46, Feb;0,1955611249233814;0,011443450095805717;0;0,001000696119475872;0;0,032097254;0;0;0,1955611249233814
47, Feb;0,022482270890093865;0,0011241135603569923;0;0;0;0;0,017578783;0;0,022482270890093865
48, Feb;0,10617780685424805;0,0053761696561853934;0;0;0,006921949538778752;0;0,101141855;0;0,10617780685424805
49, Feb;0,04034625215733305;0,002017312702980447;0;0,0013913688190439915;0;0;0,033302857;0;0,04034625215733305
50, Feb;0,11395827760087683;0,006226492054918979;0;0;0;0;0;0;0,11395827760087683
51, Feb;0,3127327371150889;0,018860388309397597;0;0;0;0;0,012129527;0;0,3127327371150889
52, Feb;0,1535266510983731;0,007756299160896463;0;0;0;0;0;0;0,1535266510983731
53, Feb;0,004273273209308056;0,00021366366839155237;0;0;0;0;0;0;0,004273273209308056
54, Feb;0,0415774330179742;0,002141081430810563;0;0;0;0;0;0;0,0415774330179742
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0;0;0;0;0;0;0;0;0
57, Feb;0,0021619343377174216;0,0001080967089597215;0;0;0;0;0;0;0,0021619343377174216
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,0036387747906624;0,00018193873953312002;0;0;0;0;0;0;0,0036387747906624
60, Mar;0,004153013863462083;0,0002313103289046186;0;0;0;0;0;0;0,004153013863462083
61, Mar;0,0005641697331311855;0,00002820848764732797;0;0;0,00008444777353012815;0;0;0;0,0005641697331311855
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0,0004627665782228429;0,00002313832792037345;0;0;0,0004627665782228429;0;0;0;0,0004627665782228429
64, Mar;0,00980131613447311;0,0004994574775721164;0;0;0,0002166608824057782;0;0;0;0,00980131613447311
65, Mar;0,0012496252484778141;0,00006438894791805997;0;0;0,000802729754371846;0;0;0;0,0012496252484778141
66, Mar;0,0005640883712058371;0,000054824165999889374;0;0;0;0;0;0;0,0005640883712058371
67, Mar;0;0;0;5,967583692449323e-7;0;0;0;0;0
68, Mar;0;0;0;0;0;0;0;0;0
69, Mar;5,98423750798634e-7;2,992118802370548e-8;0;0;0;0;0;0;5,98423750798634e-7
70, Mar;0;0;0;0;0;0;0;0;0
71, Mar;0;0;0;0;0;0;0;0;0
72, Mar;0;0;0;0;0;0;0;0;0
73, Mar;0,00047381273768049606;0,000023690636884024802;0;0;0;0;0;0;0,00047381273768049606
74, Mar;0,00026423155151783154;0,000013211577328199401;0;0;0;0;0;0;0,00026423155151783154
75, Mar;0,0009444380535724316;0,000047221898715546793;0;0;0;0;0;0;0,0009444380535724316
76, Mar;0,00042614368523689026;0,000021307184261844512;0;0;0;0;0;0;0,00042614368523689026
77, Mar;0;0;0;0;0;0;0;0;0
78, Mar;0;0;0;0;0;0;0;0;0
79, Mar;0;0;0;0;0;0;0;0;0
80, Mar;0,00023155156126681794;0,000011577578063340897;0;0;0;0;0;0;0,00023155156126681794
81, Mar;0,006082971679403427;0,00031201511700736713;0;0;0;0;0;0;0,006082971679403427
82, Mar;0,010978263743380283;0,0006288366114839594;0;0;0;0,001276108;0,000370015;0;0,010978263743380283
83, Mar;0,01149171971260233;0,0005745860014824157;0;0;0;0;0;0;0,01149171971260233
84, Mar;0,006066388906316555;0,0003033194175743042;0;0;0;0;0;0;0,006066388906316555
85, Mar;0,02332315039127431;0,0011661574244499207;0;0;0;0;0;0;0,02332315039127431
86, Mar;0;0;0;0;0;0;0;0;0
87, Mar;0,0033150670376229795;0,0001657533439549994;0;0;0;0;0;0;0,0033150670376229795
88, Mar;0;0;0;0;0;0;0;0;0
89, Mar;0;0;0;0;0;0;0;0;0
90, Mar;0,024906467884144884;0,0012733115953333833;0;0;0;0,000553692;0;0;0,024906467884144884
91, Apr;0,0004717280018202802;0,000023586400586398356;0;0;0;0;0;0;0,0004717280018202802
