"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,07939929711191278;0,005534177940142782;0;0;0;0;0;0;0,07939929711191278
2, Jan;0,11238360404968262;0,007951742724368447;0;0;0;0;0;0;0,11238360404968262
3, Jan;0,10596346855163574;0,007925071998646385;0;0,06807659801683928;0;0;0;0;0,10596346855163574
4, Jan;0,12178835115934673;0,011037415579745644;0;0;0;0;0;0;0,12178835115934673
5, Jan;0,15674889715094315;0,010992827384095443;0;0;0;0;0;0;0,15674889715094315
6, Jan;0,05077222773903295;0,003016055414551183;0;0;0;0;0;0;0,05077222773903295
7, Jan;0,11279064730594032;0,01198613094656091;0;0;0;0;0;0;0,11279064730594032
8, Jan;0,08039914934258711;0,00995581401021857;0;0,0069680182557356985;0,027317655713934647;0;0;0;0,08039914934258711
9, Jan;0,10740744440179122;0,01051161948003267;0;0,1044997165077611;0;0;0;0;0,10740744440179122
10, Jan;0,06300898602134303;0,008723760121747068;0;0,0027313940227031708;0;0;0;0;0,06300898602134303
11, Jan;0,07112503051757812;0,009210028146442614;0;0;0;0;0;0;0,07112503051757812
12, Jan;0,04078115601288645;0,005208529139819898;0;0;0;0,003512279;0;0;0,04078115601288645
13, Jan;0,03291978647834376;0,0026632884615346007;0;0;0;0;0;0;0,03291978647834376
14, Jan;0,016666732336345472;0,0009323271285546454;0;0;0;0;0;0;0,016666732336345472
15, Jan;0,053003198222110144;0,003286364243218773;0;0;0,004690782804238169;0;0,009172825;0;0,053003198222110144
16, Jan;0,029392079303139133;0,0014696039847637479;0;0;0,029392079303139133;0;0;0;0,029392079303139133
17, Jan;0,036612278536746375;0,0030707681649609618;0;0;0;0,031527822;0;0;0,036612278536746375
18, Jan;0,02854559296055844;0,0016656537589273955;0;0;0;0,001063906;0;0;0,02854559296055844
19, Jan;0,022717394326862535;0,0013342465421086864;0;0;0;0;0;0;0,022717394326862535
20, Jan;0,002988165146426151;0,00014940826957555195;0;0;0;0;0;0;0,002988165146426151
21, Jan;0,0465119763424522;0,0030687470969400906;0;0;0,01345649989027726;0;0,000797618;0;0,0465119763424522
22, Jan;0,07261468234815095;0,005267164424846047;0;0;0;0,001499777;0,072614677;0;0,07261468234815095
23, Jan;0,03659158631374961;0,0024622404261639246;0;0;0;0,033069668;0,004047895;0;0,03659158631374961
24, Jan;0,021401496309983104;0,001181903344235922;0;0;0,000016760042758266392;0;0;0;0,021401496309983104
25, Jan;0,021364947682932803;0,0013962044919791975;0;0;0,0010242791552292673;0;0;0;0,021364947682932803
26, Jan;0,015470666320700394;0,0008293388313368747;0;0;0,0013773485429977115;0;0;0;0,015470666320700394
27, Jan;0,030721931081069142;0,001536096495233084;0;0;0;0;0;0;0,030721931081069142
28, Jan;0,0028032978114328885;0,0001401649052767377;0;0;0;0,002803298;0;0;0,0028032978114328885
29, Jan;0,0416628404667503;0,0021132893468204295;0;0;0;0,038868707;0;0;0,0416628404667503
30, Jan;0,00808867655302349;0,00040443381294608116;0;0;0;0;0;0;0,00808867655302349
31, Jan;0,05236119031906128;0,0030642371428640266;0;0;0,037965554940073115;0,016865213;0;0;0,05236119031906128
32, Feb;0,07577187136599892;0,004713850586037887;0;0;0,03588499520954333;0;0;0;0,07577187136599892
33, Feb;0,006300276831576699;0,0003150138072669506;0;0;0;0;0;0;0,006300276831576699
34, Feb;0,086587949803001;0,005410431247008474;0;0;0;0,011846211;0,020845896;0;0,086587949803001
35, Feb;0,07361582078431782;0,005312909029032055;0;0;0;0,024789993;0;0;0,07361582078431782
36, Feb;0,10833738979540374;0,007519541602385671;0;0,0022747779363080077;0;0,079948266;0;0;0,10833738979540374
37, Feb;0,15255416067023025;0,015319231309388814;0;0,02918365754579243;0;0,116705383;0;0;0,15255416067023025
38, Feb;0,07196767706620066;0,0035983841670186897;0;0;0;0;0;0;0,07196767706620066
39, Feb;0,11835321627165142;0,0077386537664815;0;0;0;0;0;0;0,11835321627165142
40, Feb;0,021448929058878047;0,0010724465705846484;0;0;0;0;0;0;0,021448929058878047
41, Feb;0,1251998449626722;0,008427784631126806;0;0;0;0,000367873;0;0;0,1251998449626722
42, Feb;0,03863100001686498;0,002533547580242157;0;0;0;0;0;0;0,03863100001686498
43, Feb;0,14472723007202148;0,007403831732900519;0;0,1553875019675807;0;0;0;0;0,14472723007202148
44, Feb;0,04622444981022885;0,0030619084442916667;0;0;0;0;0;0;0,04622444981022885
45, Feb;0,13682980286447624;0,006841490143223813;0;0;0;0;0;0;0,13682980286447624
46, Feb;0,1690327242801064;0,012143715431815699;0;0;0;0;0;0;0,1690327242801064
47, Feb;0,010676189472800806;0,0005338094932468314;0;0;0;0;0,004299665;0;0,010676189472800806
48, Feb;0;0;0;0;0;0;0;0;0
49, Feb;0,11772340222408897;0,006636268214175576;0;0;0;0;0,105290333;0;0,11772340222408897
50, Feb;0,007100642511719151;0,00035503212558595757;0;0;0;0;0,007100643;0;0,007100642511719151
51, Feb;0,10582864911932695;0,006055591529921482;0;0;0;0;0;0;0,10582864911932695
52, Feb;0,015013981806604485;0,0007506990805268288;0;0;0;0;0;0;0,015013981806604485
53, Feb;0,04726997174714741;0,0024062720568556535;0;0;0;0;0;0;0,04726997174714741
54, Feb;0,11480105550665605;0,005740051991061161;0;0;0;0;0;0;0,11480105550665605
55, Feb;0;0;0;0;0;0;0;0;0
56, Feb;0,012953085334677445;0,0006476542667338723;0;0;0;0;0,012953085;0;0,012953085334677445
57, Feb;0;0;0;0;0;0;0;0;0
58, Feb;0;0;0;0;0;0;0;0;0
59, Feb;0,017536149213188572;0,0008768074606594286;0;0;0;0;0;0;0,017536149213188572
60, Mar;0,03945647415361906;0,0022930418582339037;0;0;0;0;0;0;0,03945647415361906
61, Mar;0,0029098079784920343;0,00014549040382629946;0;0;0,0029098079784920343;0;0;0;0,0029098079784920343
62, Mar;0;0;0;0;0;0;0;0;0
63, Mar;0;0;0;0;0;0;0;0;0
64, Mar;0,0037676872391449777;0,00018838436440809776;0;0;0,0037676872391449777;0;0;0;0,0037676872391449777
65, Mar;0,18568509503414757;0,011802260028688531;0;0,12819600105285645;0,03896873875668174;0;0;0;0,18568509503414757
66, Mar;0,08039082351483796;0,004019541175741898;0;0,023474732511921934;0;0;0;0;0,08039082351483796
